Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
ONLINE SOLICITATION OF A MINOR UNDER 14,1,A,SEX OFFENSES,1
OPEN BUILDING (NO OFFENSE),2626,C,MISCELLANEOUS,0
OPERATE UNMANNED AIRCRAFT CORR/DET/CRITCL FAC  (GC 423.0045(D)),1,B,ALL OTHER OFFENSES,0
OTHER FELONY OFFENSE - COUNTERFEITING/FORGERY,8,A,COUNTERFEITING / FORGERY,1
OTHER FELONY OFFENSE - EXTORTION/BLACKMAIL,5,A,EXTORTION/ BLACKMAIL,1
OTHER FELONY OFFENSE - FRAUD,72,A,FRAUD OFFENSES,1
OTHER MISDEMEANOR OFFENSE - COUNTERFEITING/FORGERY,1,A,COUNTERFEITING / FORGERY,1
OTHER MISDEMEANOR OFFENSE - EXTORTION/BLACKMAIL,5,A,EXTORTION/ BLACKMAIL,1
OTHER MISDEMEANOR OFFENSE - FRAUD,47,A,FRAUD OFFENSES,1
OTHER OFFENSE - FELONY,105,B,ALL OTHER OFFENSES,0
OTHER OFFENSE - FELONY (NO CODE),4,B,ALL OTHER OFFENSES,0
OTHER OFFENSE - MISDEMEANOR,1740,C,MISCELLANEOUS,0
OTHER OFFENSE - MISDEMEANOR  (NO CODE),112,C,MISCELLANEOUS,0
PERJURY,1,A,FRAUD OFFENSES,1
PERJURY (AGG,1,A,ASSAULT OFFENSES,1
PERMIT REQUIRED IN WET AREA,7,B,LIQUOR LAW VIOLATIONS,0
PLACE WEAPONS PROHIBITED,48,A,WEAPON LAW VIOLATIONS,0
PLACEMENT OF SERIAL NUMBERS WITH INTENT TO CHANGE IDENTITY,2,A,COUNTERFEITING / FORGERY,0
POSS CONT SUB NOT IN PEN GRP,140,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB NOT IN PEN GRP *DRUG FREE ZONE*,5,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 <1G,3499,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 <1G *DRUG FREE ZONE*,148,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,936,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 > OR EQUAL 200G<400G,21,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 > OR EQUAL 400G,4,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,363,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1 >1G *DRUG FREE ZONE*,16,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1A <20AU,4,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1A > OR EQUAL 20<80AU,1,A,DRUG/ NARCOTIC VIOLATIONS,0
"POSS CONT SUB PEN GRP 1A > OR EQUAL 80<4,000AU",1,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 1A > OR EQUAL 8000AU,1,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 < 1G,205,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 < 1G *DRUG FREE ZONE*,13,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 > OR EQUAL  1G<4G,115,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 > OR EQUAL  400G,16,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 > OR EQUAL 1G *DRUG FREE ZONE*,4,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2 > OR EQUAL 4G<400G,80,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2-A  2 OZ OR LESS,27,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2-A < OR EQUAL 2 OZ,115,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2-A > 2 OZ < OR EQUAL 4 OZ,8,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2-A > 4 OZ < OR EQUAL  5 LBS,4,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 2-A > 5 LBS < OR EQUAL 50LBS,3,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 3 < 28G,599,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 3 < 28G *DRUG FREE ZONE*,33,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 3 > OR EQUAL  28G<200G,26,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 3 > OR EQUAL  400G,1,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 4 <28G,80,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 4 > OR EQUAL 200G<400G,3,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 4 > OR EQUAL 28G *DRUG FREE ZONE*,2,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 4 > OR EQUAL 28G<200G,4,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS CONT SUB PEN GRP 4 > OR EQUAL 400G,7,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA <2OZ,5623,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA <2OZ *DRUG FREE ZONE*,334,A,DRUG/ NARCOTIC VIOLATIONS,0
"POSS MARIJUANA >2,000LBS",1,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,312,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >2OZ< OR EQUAL 4OZ *DRUG FREE ZONE*,43,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,334,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >4OZ< OR EQUAL 5LBS *DRUG FREE ZONE*,46,A,DRUG/ NARCOTIC VIOLATIONS,0
"POSS MARIJUANA >50LBS< OR EQUAL 2,000LBS",12,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >5LBS *DRUG FREE ZONE*,2,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS MARIJUANA >5LBS< OR EQUAL 50LBS,56,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS OF CHILD PORNOGRAPHY,74,A,PROSTITUTION OFFENSES,0
POSS OF CHILD PORNOGRAPHY - W/INT TO PROMOTE,5,A,PROSTITUTION OFFENSES,0
POSS OF DANGEROUS DRUG,191,A,DRUG/ NARCOTIC VIOLATIONS,0
POSS W/INT TO PROMOTE CHILD PORNOGRAPHY,2,A,PROSTITUTION OFFENSES,0
POSS/PROMOTE LEWD VISUAL MATERIAL DEPICT CHILD,1,A,PROSTITUTION OFFENSES,0
POSSESSION AND USE OF VOLATILE CHEMICAL,5,A,DRUG/ NARCOTIC VIOLATIONS,0
POSSESSION OF DRUG PARAPHERNALIA,746,A,DRUG/ NARCOTIC VIOLATIONS,0
POSSESSION OF STOLEN PROPERTY,264,A,STOLEN PROPERTY OFFENSES,1
"POSSSESS, MANUFACTOR OR DISTRIBUTE RETAIL THEFT  INSTRUMENT",5,A,STOLEN PROPERTY OFFENSES,1
PROHIBITED SUBSTANCE/ITEM IN CORRECTIONAL FACILITY,5,B,ALL OTHER OFFENSES,0
PROHIBITED WEAPON KNUCKLES,55,A,WEAPON LAW VIOLATIONS,0
PROHIBITED WEAPON PC,40,A,WEAPON LAW VIOLATIONS,1
PROHIBITED WEAPON/WEAPONS FREE ZONE,2,A,WEAPON LAW VIOLATIONS,1
PROHIBITED WEAPON/WEAPONS FREE ZONE IA,1,A,WEAPON LAW VIOLATIONS,1
PUBLIC INTOXICATION,23858,C,MISCELLANEOUS,0
PUBLIC INTOXICATION: MINOR 3RD ENH,16,C,MISCELLANEOUS,0
PUBLIC LEWDNESS,22,B,DISORDERLY CONDUCT,0
PUBLISH/THREAT TO PUBLISH INTIMATE VISUAL MATERIAL,31,B,DISORDERLY CONDUCT,0
PURCHASE FURNISH ALCOHOL TO A MINOR,4,B,LIQUOR LAW VIOLATIONS,0
RACING ACT (VCS 179( E)),2,C,MISCELLANEOUS,0
RECKLESS DAMAGE,14292,B,ALL OTHER OFFENSES,1
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),3755,A,STOLEN PROPERTY OFFENSES,1
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),14323,A,MOTOR VEHICLE THEFT,1
REPEATED VIOL.OF CERTAIN C.O.OR COND. OR BOND IN FAM. VIOL,12,A,"FAMILY OFFENSES, NONVIOLENT",1
RESIST ARREST SEARCH OR TRANSPORT,984,A,ASSAULT OFFENSES,1
RESIST ARREST SEARCH OR TRANSPORT DEADLY WEAPON,6,A,ASSAULT OFFENSES,1
RESTRICTION ON CONSUMPTION OF ALCOHOL,2,B,LIQUOR LAW VIOLATIONS,0
RIOT PARTICIPATION MB,12,B,DISORDERLY CONDUCT,0
"ROBBERY (AGG) OF BUSINESS, PRELIMINARY INVESTIGATION",17,A,ROBBERY,1
"ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION",634,A,ROBBERY,1
ROBBERY OF BUSINESS,2040,A,ROBBERY,1
ROBBERY OF BUSINESS - PRELIMINARY INVESTIGATION,24,A,ROBBERY,1
ROBBERY OF BUSINESS (AGG),5214,A,ROBBERY,1
ROBBERY OF INDIVIDUAL,4977,A,ROBBERY,1
ROBBERY OF INDIVIDUAL - PRELIMINARY INVESTIGATION,657,A,ROBBERY,1
ROBBERY OF INDIVIDUAL (AGG),16020,A,ROBBERY,1
SALE ALCOHOLIC BEVERAGE DURING PROHIBITED HOURS,3,B,LIQUOR LAW VIOLATIONS,0
SALVAGE VEHICLE NO RECORDS,15,B,ALL OTHER OFFENSES,0
"SECURE EXECUTION DOC BY DECEPTION > OR EQUAL TO $1,500 BUT <$20K",1,A,FRAUD OFFENSES,1
SECURE EXECUTION DOC DECEPTION  > OR EQUAL TO $100 BUT <$750,1,A,FRAUD OFFENSES,1
SECURE EXECUTION DOC DECEPTION > OR EQUAL TO $150K BUT < $300K,2,A,FRAUD OFFENSES,1
SECURE EXECUTION DOC DECEPTION > OR EQUAL TO $200K,1,A,FRAUD OFFENSES,1
SEIZED PROPERTY (NO OFFENSE),1460,B,ALL OTHER OFFENSES,1
SEX ABUSE OF CHILD CONTINUOUS VICTIM<14 (WITH OBJECT,1,A,SEX OFFENSES,1
SEX ASSAULT  (WITH OBJECT),6,A,SEX OFFENSES,1
SEX OFFENDERS DUTY TO REGISTER 10YRS,28,B,ALL OTHER OFFENSES,0
SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY (CCCP 62.102(B)(3)),32,B,ALL OTHER OFFENSES,0
SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,192,B,ALL OTHER OFFENSES,0
SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,117,B,ALL OTHER OFFENSES,0
SEXUAL PERFORM CHILD PRODUCE/DIRECT/PROMOTE,1,A,SEX OFFENSES,1
SLEEPING IN A PUBLIC PLACE,36,C,MISCELLANEOUS,0
SMUGGLING OF PERSONS,1,A,HUMAN TRAFFICKING,1
SOLICITATIONS TO OCCUPANTS OF VEHICLES ON PUBLIC ROADWAYS,5,C,MISCELLANEOUS,0
STALKING,237,A,ASSAULT OFFENSES,1
STALKING- PRELIMINARY INVESTIGATION,25,A,ASSAULT OFFENSES,1
STALKING W/PREV CONVICTION,1,A,ASSAULT OFFENSES,1
STAMPS ON DISTILLED SPIRITS CONTAINER,1,B,LIQUOR LAW VIOLATIONS,0
STEALING RECEIVING STOLEN CHECK,1,A,FRAUD OFFENSES,1
SUICIDE (ATT) - (SOCIAL SERVICES REFERRAL),135,C,MISCELLANEOUS,0
SUSPICIOUS PERSON MIR (MISCELLANEOUS INCIDENT REPORT NO OFFENSE),214,C,MISCELLANEOUS,0
TAKE WEAPON FROM AN OFFICER (ATT),25,A,ASSAULT OFFENSES,1
TAKE WEAPON FROM AN OFFICER (GUN OR BATON),1,A,ASSAULT OFFENSES,1
TAKE WEAPON FROM AN OFFICER (MACE/TASER),1,A,ASSAULT OFFENSES,1
"TAMPER FABRIC. PHYSICAL EVID. ALTER,DESTROY CONCEAL HUMAN CORPSE",3,B,ALL OTHER OFFENSES,0
TAMPER FABRICATE PHY EVID/FAILS REPORT HUMAN REMAINS,2,B,ALL OTHER OFFENSES,0
TAMPER FABRICATE PHYSICAL EVID WITH INTENT TO IMPAIR,142,A,FRAUD OFFENSES,1
TAMPER W/CERT/INSP/MAINTENANCE REPORT,1,B,ALL OTHER OFFENSES,0
TAMPER W/CONSUMER PRODUCT  NO INJUR,6,B,ALL OTHER OFFENSES,0
"TAMPER W/GOVT REC-INS DOC (A)(1,3,4,6)",17,B,ALL OTHER OFFENSES,0
"TAMPER W/GOVT REC-INS DOC (A)(2,5)",16,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT REC-INS DOC-DEFRAUD/HARM,46,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT RECORD,50,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT RECORD DEFRAUD/HARM,56,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT RECORD LIC/SEAL DEFRAUD/HARM,80,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT RECORD W/INT MAKE GENUINE,7,B,ALL OTHER OFFENSES,0
TAMPER W/GOVT RECORD-INSURANCE DOCUMENTS,1,B,ALL OTHER OFFENSES,0
TAMPER W/IDENTIFICATION NUMBERS PERSONAL PROBERTY,4,A,COUNTERFEITING / FORGERY,1
TAMPER W/IDENTIFICATION NUMBERS PERSONAL PROPERTY,4,A,COUNTERFEITING / FORGERY,1
TAMPER W/WITNESS,4,A,BRIBERY,1
TERRORISTIC THREAT - FEAR IMMINENT SBI,768,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT - REACTION EMERGENCY AGENCY,26,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT AGAINST PUB SERV (PEACE OFFICER /JUDGE,10,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT AGAINST PUBLIC SERVANT,17,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT CAUSES PECUNIARY LOSS OF >$1500,11,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT FEAR IMMINENT SBI,617,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT IMPAIR PUBLIC SER/PUBLIC FEAR SBI/INFLU GOV,11,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT IMPAIR PUBLIC/GOV SERVICE,6,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT INTERRUPT PUBLIC PLACE,56,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT OF FAMILY/HOUSEHOLD,81,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT -PRELIMINARY INVESTIGATION,132,A,ASSAULT OFFENSES,1
TERRORISTIC THREAT REACTION EMERGENCY AGENCY,9,A,ASSAULT OFFENSES,1
THEFT - PRELIMINARY INVESTIGATION,2471,A,LARCENY/ THEFT OFFENSES,1
THEFT ACQUISITION OF FINANCIAL INFORMATION,7,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING <$100 (NOT SHOPLIFT),189,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),455,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $150K <$300K (NOT SHOPLIFT),4,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $2500<$30K (NOT SHOPLIFT),210,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $300K (NOT SHOPLIFT),1,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $30K<$150K (NOT SHOPLIFT),16,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM BUILDING> OR EQUAL $750<$2500 (NOT SHOPLIFT),280,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON,2636,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON (ATT) PICKPOCKET,17,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON (ATT) PURSE SNATCH,47,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON ENHANCED,9,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON-PICKPOCKE,706,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON-PURSE SNATC,601,A,LARCENY/ THEFT OFFENSES,1
THEFT FROM PERSON-PURSE SNATCH ENHANCE,3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF ANIMAL CATTLE/HORSE/EXOTIC (ATT) <$100K,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF ANIMAL CATTLE/HORSE/EXOTIC LIVESTOCK <$100K,8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF ANIMAL CATTLE/HORSE/EXOTIC LIVESTOCK <$150K,17,A,LARCENY/ THEFT OFFENSES,1
THEFT OF CARGO > $200K (EMP) PC31.18(c4),6,A,ROBBERY,1
THEFT OF CARGO > $200K (NOT EMP) PC31.18(c4),4,A,ROBBERY,1
"THEFT OF CARGO > OR EQUAL $1,500 < $10K (EMP) PC31.18(c1)",6,A,ROBBERY,1
"THEFT OF CARGO > OR EQUAL $1,500 < $10K (NOT EMP) PC31.18(c1)",57,A,ROBBERY,1
THEFT OF CARGO > OR EQUAL $100K < $200K (EMP) PC31.18(c3),4,A,ROBBERY,1
THEFT OF CARGO > OR EQUAL $100K < $200K (NOT EMP) PC31.18(c3),4,A,ROBBERY,1
THEFT OF CARGO > OR EQUAL $10K < $100K (EMP) PC31.18(c2),10,A,ROBBERY,1
THEFT OF CARGO > OR EQUAL $10K < $100K (NOT EMP) PC31.18(c2),35,A,ROBBERY,1
THEFT OF CATTLE/HORSE/EXOTIC LIVESTOCK (ATT) <$150K PC31.03(e5A),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF CATTLE/HORSE/EXOTIC LIVESTOCK <$150K PC31.03(e5A),13,A,LARCENY/ THEFT OFFENSES,1
THEFT OF DL/COMM DL/ID CERTIFICATE,165,A,LARCENY/ THEFT OFFENSES,1
THEFT OF FIREARM,1104,A,LARCENY/ THEFT OFFENSES,1
THEFT OF FIREARM (ATT,4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF FIREARM ENHANCED,1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL (ATT) 50% ALUM/BRNZE/COPPER <20K ENH,14,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL (ATT) ALUM/BRNZE/COPPER <$20K PC31.03(e4F),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL 50% ALUM/BRNZE/COPPER  (ATT) <$20K,17,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL 50% ALUM/BRNZE/COPPER <$20K,626,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL 50% ALUM/BRNZE/COPPER <$20K ENH,12,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL ALUM/BRNZE/COPPER <$20K ENH PC31.03(f),11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF MATERIAL ALUM/BRNZE/COPPER <$20K PC31.03(e4F),300,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $100 BUT <$750 ENH (BY EMPLOYEE),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $100 BUT <$750 ENH-NOT SHOPLIF,58,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $20 BUT <$500 BY CHECK ENH,12,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $50 BUT <$500 ENH (BY EMPLOYEE),15,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $50 BUT <$500 ENH-NOT SHOPLIF,105,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $500 BUT <$1500 ENH  -NOT SHOPLIFT,100,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $500 BUT <$1500 ENH (BY EMPLOYEE),11,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $750 BUT <$2500 ENH  -NOT SHOPLIFT,48,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP $750 BUT <$2500 ENH (BY EMPLOYEE),8,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $100 BUT <$750 ENH (NOT EMPLOYEE),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $50 BUT <$500 ENH (BY EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $50 BUT <$500 ENH (NOT EMPLOYEE),10,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $500 BUT <$1500 ENH (BY EMPLOYEE),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $500 BUT <$1500 ENH(NOT EMPLOYEE),10,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) $750 BUT <$2500 ENH(NOT EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) <$1,500  2+ PREV CONV (NOT EMP)",1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$100 (BY EMPLOYEE),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$100 (NOT  EMPLOYEE),76,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$100 ENH (NOT EMPLOYEE),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$100 W/PREV CONV (NOT EMP) PC31.03(e2B),2,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$1500 2+ CONV ENH (BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$1500 2+ CONV ENH (NOT BY EMP),4,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) <$2,500  2+ PREV CONV (NOT EMP)",1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) <$2,500 2+CONV ENH (NOT EMP) PC31.03(f)",3,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) <$2,500 2+PREV CONV (NOT EMP) PC31.03 (e4D)",1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$2500 2+ CONV ENH (NOT BY EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$50 (BY EMPLOYEE),5,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$50 (NOT  EMPLOYEE),28,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) <$50 ENH (NOT EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL  $1500 BUT <$20K ENH (BY EMP),3,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $1,500 BUT <$20K (BY EMP",9,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $1,500 BUT <$20K (NOT EMP",44,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100 <$750 (EMP) PC31.03(e2A),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100 <$750 (NOT EMP) PC31.03(e2A),50,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100 <$750 ENH (NOT EMP) PC31.03(f),7,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100 BUT <$750 (BY EMP),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100 BUT <$750 (NOT EMP,31,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $100K<$200K (NOT EMP),9,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $1500 BUT <$20K ENH(NOT EMP,6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $150K <$300K (EMP) PC31.03(e6A),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $150K <$300K (NOT EMP) PC31.03(e6A),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $150K<$300K (NOT EMP),4,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $2,500 <$30K (EMP) PC31.03(e4A)",2,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",20,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $2,500 BUT <$30K (BY EMP",2,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $2,500 BUT <$30K (NOT EMP",31,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $200K (BY EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $200K (NOT EMPLOYEE),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $20K<$100K (NOT EMP),6,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $20K<$100K ENH (NOT EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $30K <$150K (EMP) PC31.03(e5),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $30K <$150K (NOT EMP) PC31.03(e5),9,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $30K<$150K (NOT EMP),3,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $30K<$150K ENH (NOT EMP),1,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $50 BUT <$500 (BY EMP),4,A,LARCENY/ THEFT OFFENSES,1
THEFT OF PROP (ATT) > OR EQUAL $50 BUT <$500 (NOT EMP,63,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $500 BUT <$1,500 (BY EMP)",5,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $500 BUT <$1,500 (NOT EMP)",24,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",16,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $750 <$2,500 ENH (NOT EMP) PC31.03(f)",1,A,LARCENY/ THEFT OFFENSES,1
"THEFT OF PROP (ATT) > OR EQUAL $750 BUT <$2,500 (BY EMP)",2,A,LARCENY/ THEFT OFFENSES,1
