Type of Incident,Frequency,rNIBRS Group,rNIBRS Crime Category,Has_victim
COERCION OF PUBLIC SERVANT/VOTER THREAT OF FELONY,1,A,ASSAULT OFFENSES,1
COMPUTER SECURITY BREACH,20,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH < AGGREGATE $100,3,A,FRAUD OFFENSES,1
"COMPUTER SECURITY BREACH > OR EQUAL $2,500 < $30K",1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH > OR EQUAL $30K < $150K,1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH >$300,1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH >OR EQUAL TO $100 BUT <$750,1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH >OR EQUAL TO $150K BUT <$300K,1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH >OR EQUAL TO $750 BUT <$2500,1,A,FRAUD OFFENSES,1
COMPUTER SECURITY BREACH IDENT INFO FROM 1 COMP,1,A,FRAUD OFFENSES,1
CONSUME ON PREMISES PROHIBITED,1,B,LIQUOR LAW VIOLATIONS,0
CONTINUOUS VIOLENCE AGAINST THE FAMILY,5,A,ASSAULT OFFENSES,1
CREDIT CARD OR DEBIT CARD ABUSE,2058,A,FRAUD OFFENSES,1
CREDIT CARD OR DEBIT CARD ABUSE - PRELIMINARY INVESTIGATION,1915,A,FRAUD OFFENSES,1
CREDIT CARD OR DEBIT CARD ABUSE ELDERLY,166,A,FRAUD OFFENSES,1
CRIM MISCHIEF $1500  BUT < $20K DESTROY SCHOOL,12,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF < $2,500 HABITATION W/FA/EXPLOS",10,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF < $2,500 LS/GAME ANIM FENCE",1,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF < $50,1123,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF <$100,6965,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF <$1500 HABITATION FA/EXPLOS,12,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF <$2500 HABITATION FA/EXPLOS,13,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF <$2500 LS/GAME ANIM FENCE,1,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF > OR EQUAL $1,500 BUT < $20K",1484,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $100 < $750,19604,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $100K BUT < $200K,7,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $150K < $300K,23,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",3115,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $200K,5,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $20K BUT < $100K,26,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $300K,15,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $30K < $150K,41,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $50 BUT < $500,8114,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF > OR EQUAL $500 BUT < $1,500",3261,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF > OR EQUAL $750 < $30K DESTROY SCHOOL,19,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF >$750  BUT <$30K DESTROY SCHOOL,9,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF >OR EQUAL $100 BUT <$750,16360,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF >OR EQUAL $150K BUT <$300K,11,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF >OR EQUAL $2,500 BUT <$30K",1557,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF >OR EQUAL $300K,3,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF >OR EQUAL $30K BUT <$150K,28,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",7672,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF >OR EQUAL $750 BUT <$2,500",4834,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF DAMAGE/DESTR WORSHIP/SCHOOL,105,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF IMP/INT PUB SERVICE < $30K,11,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF IMP/INT PUB SERVICE <$20,000",28,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF IMP/INT PUB SERVICE <$30,000",10,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF IMPAIR/INTERRUPT PUB SERVICE,123,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF -PRELIMINARY INVESTIGATION,720,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIM MISCHIEF TRANS/COMM EQUIP/DEV < $150K,3,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$100,000",3,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
"CRIM MISCHIEF TRANS/COMM EQUIP/DEV <$150,000",2,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIMINAL ATTEMPT,14,B,ALL OTHER OFFENSES,1
CRIMINAL CONSPIRACY,1,B,ALL OTHER OFFENSES,1
CRIMINAL MISCHIEF > OR EQUAL $30K<$150K,73,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,0
CRIMINAL NEGLIGENT HOMICIDE,89,A,HOMICIDE OFFENSES,1
CRIMINAL SIMULATION,16,A,COUNTERFEITING / FORGERY,1
CRIMINAL SOLICITATION,1,B,ALL OTHER OFFENSES,0
CRIMINAL TRESPASS,6658,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS - RESID LAND W/IN 100FT PROTECTED WATER,6,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS AFFIDAVIT,2482,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS- AGRICULTURAL LAND W/IN 100FT OF BOUNDARY,2,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS HAB/DEADLY WEAP/INFRASTRUC,296,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS HABIT/SHLTR/SUPRFUND/INFSTRT,220,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS INST HIGH EDU PREV CONV IAT,1,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS WARNING,20912,A,BURGLARY/ BREAKING & ENTERING,1
CRIMINAL TRESPASS WDEADLY WEAPON,4,A,BURGLARY/ BREAKING & ENTERING,1
CRUELTY NON-LIVESTK ANIM:FIGHT/LURE,2,A,ANIMAL OFFENSES,0
CRUELTY NON-LIVESTK ANIM:TORTURE/KILL/POISON/SBI,152,A,ANIMAL OFFENSES,0
